label,name,c1,c2,c3,id,val_fs,cortical,alpha
0,Unknown,0,0,0,0,0,0,255
16,Brain-Stem,119,159,176,1,11575159,0,255
8,Left-Cerebellum-Cortex,230,148,34,2,2266342,0,255
10,Left-Thalamus-Proper,0,118,14,3,947712,0,255
11,Left-Caudate,122,186,220,4,14465658,0,255
12,Left-Putamen,236,13,176,5,11537900,0,255
13,Left-Pallidum,12,48,255,6,16723980,0,255
17,Left-Hippocampus,220,216,20,7,1366236,0,255
18,Left-Amygdala,103,255,255,8,16777063,0,255
26,Left-Accumbens-area,255,165,0,9,42495,0,255
,???,255,255,255,10,16777215,1,255
,L_V1_ROI,63,5,255,11,16713023,1,255
,L_MST_ROI,54,103,129,12,8480566,1,255
,L_V6_ROI,62,78,178,13,11685438,1,255
,L_V2_ROI,23,50,233,14,15282711,1,255
,L_V3_ROI,15,40,226,15,14821391,1,255
,L_V4_ROI,14,28,214,16,14031886,1,255
,L_V8_ROI,26,47,201,17,13184794,1,255
,L_4_ROI,33,178,20,18,1356321,1,255
,L_3b_ROI,35,205,21,19,1428771,1,255
,L_FEF_ROI,134,143,137,20,9015174,1,255
,L_PEF_ROI,141,166,152,21,10004109,1,255
,L_55b_ROI,62,88,47,22,3102782,1,255
,L_V3A_ROI,7,57,246,23,16136455,1,255
,L_RSC_ROI,153,64,133,24,8732825,1,255
,L_POS2_ROI,186,86,188,25,12342970,1,255
,L_V7_ROI,18,70,195,26,12797458,1,255
,L_IPS1_ROI,57,114,160,27,10515001,1,255
,L_FFC_ROI,57,89,117,28,7690553,1,255
,L_V3B_ROI,25,47,206,29,13512473,1,255
,L_LO1_ROI,0,49,184,30,12071168,1,255
,L_LO2_ROI,18,33,181,31,11870482,1,255
,L_PIT_ROI,34,43,171,32,11217698,1,255
,L_MT_ROI,31,86,104,33,6837791,1,255
,L_A1_ROI,235,19,47,34,3085291,1,255
,L_PSL_ROI,122,79,56,35,3690362,1,255
,L_SFL_ROI,31,49,22,36,1454367,1,255
,L_PCV_ROI,138,128,153,37,10059914,1,255
,L_STV_ROI,142,87,76,38,5003150,1,255
,L_7Pm_ROI,149,181,188,39,12367253,1,255
,L_7m_ROI,42,31,44,40,2891562,1,255
,L_POS1_ROI,81,54,98,41,6436433,1,255
,L_23d_ROI,127,56,91,42,5978239,1,255
,L_v23ab_ROI,29,0,14,43,917533,1,255
,L_d23ab_ROI,63,17,47,44,3084607,1,255
,L_31pv_ROI,54,11,42,45,2755382,1,255
,L_5m_ROI,48,163,48,46,3187504,1,255
,L_5mv_ROI,153,172,136,47,8957081,1,255
,L_23c_ROI,205,190,194,48,12762829,1,255
,L_5L_ROI,64,154,64,49,4233792,1,255
,L_24dd_ROI,69,161,44,50,2924869,1,255
,L_24dv_ROI,119,159,66,51,4366199,1,255
,L_7AL_ROI,115,194,134,52,8831603,1,255
,L_SCEF_ROI,110,146,86,53,5673582,1,255
,L_6ma_ROI,144,179,135,54,8893328,1,255
,L_7Am_ROI,184,243,224,55,14742456,1,255
,L_7PL_ROI,169,246,237,56,15595177,1,255
,L_7PC_ROI,68,177,108,57,7123268,1,255
,L_LIPv_ROI,63,113,158,58,10383679,1,255
,L_VIP_ROI,50,129,137,59,9011506,1,255
,L_MIP_ROI,136,206,204,60,13422216,1,255
,L_1_ROI,20,191,38,61,2539284,1,255
,L_2_ROI,48,176,62,62,4108336,1,255
,L_3a_ROI,47,216,22,63,1497135,1,255
,L_6d_ROI,26,158,32,64,2137626,1,255
,L_6mp_ROI,64,159,38,65,2531136,1,255
,L_6v_ROI,71,168,50,66,3319879,1,255
,L_p24pr_ROI,146,136,107,67,7047314,1,255
,L_33pr_ROI,129,106,103,68,6777473,1,255
,L_a24pr_ROI,176,133,130,69,8553904,1,255
,L_p32pr_ROI,163,142,121,70,7966371,1,255
,L_a24_ROI,67,12,25,71,1641539,1,255
,L_d32_ROI,90,41,50,72,3287386,1,255
,L_8BM_ROI,105,83,81,73,5329769,1,255
,L_p32_ROI,95,32,52,74,3416159,1,255
,L_10r_ROI,25,12,1,75,68633,1,255
,L_47m_ROI,96,75,66,76,4344672,1,255
