label,name,c1,c2,c3,id,val+AF8-fs,cortical,alpha
0,Unknown,0,0,0,0,0,0,0
16,Brain+AC0-Stem,119,159,176,1,11575159,0,0
8,Left+AC0-Cerebellum+AC0-Cortex,230,148,34,2,2266342,0,0
10,Left+AC0-Thalamus+AC0-Proper,0,118,14,3,947712,0,0
11,Left+AC0-Caudate,122,186,220,4,14465658,0,0
12,Left+AC0-Putamen,236,13,176,5,11537900,0,0
13,Left+AC0-Pallidum,12,48,255,6,16723980,0,0
17,Left+AC0-Hippocampus,220,216,20,7,1366236,0,0
18,Left+AC0-Amygdala,103,255,255,8,16777063,0,0
26,Left+AC0-Accumbens+AC0-area,255,165,0,9,42495,0,0
,FreeSurfer+AF8-Defined+AF8-Medial+AF8-Wall,1,1,1,10,65793,0,0
,7Networks+AF8-1,120,18,134,11,8786552,1,0
,7Networks+AF8-2,70,130,180,12,11829830,1,0
,7Networks+AF8-3,0,118,14,13,947712,1,0
,7Networks+AF8-4,196,58,250,14,16399044,1,0
,7Networks+AF8-5,220,248,164,15,10811612,1,0
,7Networks+AF8-6,230,148,34,16,2266342,1,0
,7Networks+AF8-7,205,62,78,17,5127885,1,0
47,Right+AC0-Cerebellum+AC0-Cortex23014834,230,148,34,18,2266342,0,0
49,Right+AC0-Thalamus+AC0-Proper011814,0,118,14,19,947712,0,0
50,Right+AC0-Caudate122186220,122,186,220,20,14465658,0,0
51,Right+AC0-Putamen23613176,236,13,176,21,11537900,0,0
52,Right+AC0-Pallidum1348255,13,48,255,22,16723981,0,0
53,Right+AC0-Hippocampus22021620,220,216,20,23,1366236,0,0
54,Right+AC0-Amygdala103255255,103,255,255,24,16777063,0,0
58,Right+AC0-Accumbens+AC0-area2551650,255,165,0,25,42495,0,0
,FreeSurfer+AF8-Defined+AF8-Medial+AF8-Wall,1,1,1,26,65793,0,0
,7Networks+AF8-1,120,18,134,27,8786552,1,0
,7Networks+AF8-2,70,130,180,28,11829830,1,0
,7Networks+AF8-3,0,118,14,29,947712,1,0
,7Networks+AF8-4,196,58,250,30,16399044,1,0
,7Networks+AF8-5,220,248,164,31,10811612,1,0
,7Networks+AF8-6,230,148,34,32,2266342,1,0
,7Networks+AF8-7,205,62,78,33,5127885,1,0
