label,name,c1,c2,c3,id,val_fs,cortical,alpha
0,Unknown,0,0,0,0,0,0,0
16,Brain-Stem,119,159,176,1,11575159,0,0
8,Left-Cerebellum-Cortex,230,148,34,2,2266342,0,0
10,Left-Thalamus-Proper,0,118,14,3,947712,0,0
11,Left-Caudate,122,186,220,4,14465658,0,0
12,Left-Putamen,236,13,176,5,11537900,0,0
13,Left-Pallidum,12,48,255,6,16723980,0,0
17,Left-Hippocampus,220,216,20,7,1366236,0,0
18,Left-Amygdala,103,255,255,8,16777063,0,0
26,Left-Accumbens-area,255,165,0,9,42495,0,0
1000,ctx-lh-unknown,25,5,25,10,1639705,1,0
1001,ctx-lh-bankssts,25,100,40,11,2647065,1,0
1002,ctx-lh-caudalanteriorcingulate,125,100,160,12,10511485,1,0
1003,ctx-lh-caudalmiddlefrontal,100,25,0,13,6500,1,0
1005,ctx-lh-cuneus,220,20,100,14,6558940,1,0
1006,ctx-lh-entorhinal,220,20,10,15,660700,1,0
1007,ctx-lh-fusiform,180,220,140,16,9231540,1,0
1008,ctx-lh-inferiorparietal,220,60,220,17,14433500,1,0
1009,ctx-lh-inferiortemporal,180,40,120,18,7874740,1,0
1010,ctx-lh-isthmuscingulate,140,20,140,19,9180300,1,0
1011,ctx-lh-lateraloccipital,20,30,140,20,9182740,1,0
1012,ctx-lh-lateralorbitofrontal,35,75,50,21,3296035,1,0
1013,ctx-lh-lingual,225,140,140,22,9211105,1,0
1014,ctx-lh-medialorbitofrontal,200,35,75,23,4924360,1,0
1015,ctx-lh-middletemporal,160,100,50,24,3302560,1,0
1016,ctx-lh-parahippocampal,20,220,60,25,3988500,1,0
1017,ctx-lh-paracentral,60,220,60,26,3988540,1,0
1018,ctx-lh-parsopercularis,220,180,140,27,9221340,1,0
1019,ctx-lh-parsorbitalis,20,100,50,28,3302420,1,0
1020,ctx-lh-parstriangularis,220,60,20,29,1326300,1,0
1021,ctx-lh-pericalcarine,120,100,60,30,3957880,1,0
1022,ctx-lh-postcentral,220,20,20,31,1316060,1,0
1023,ctx-lh-posteriorcingulate,220,180,220,32,14464220,1,0
1024,ctx-lh-precentral,60,20,220,33,14423100,1,0
1025,ctx-lh-precuneus,160,140,180,34,11832480,1,0
1026,ctx-lh-rostralanteriorcingulate,80,20,140,35,9180240,1,0
1027,ctx-lh-rostralmiddlefrontal,75,50,125,36,8204875,1,0
1028,ctx-lh-superiorfrontal,20,220,160,37,10542100,1,0
1029,ctx-lh-superiorparietal,20,180,140,38,9221140,1,0
1030,ctx-lh-superiortemporal,140,220,220,39,14474380,1,0
1031,ctx-lh-supramarginal,80,160,20,40,1351760,1,0
1032,ctx-lh-frontalpole,100,0,100,41,6553700,1,0
1033,ctx-lh-temporalpole,70,70,70,42,11146310,1,0
1034,ctx-lh-transversetemporal,150,150,200,43,13145750,1,0
1035,ctx-lh-insula,255,192,32,44,2146559,1,0
47,Right-Cerebellum-Cortex,230,148,34,45,2266342,0,0
49,Right-Thalamus-Proper,0,118,14,46,947712,0,0
50,Right-Caudate,122,186,220,47,14465658,0,0
51,Right-Putamen,236,13,176,48,11537900,0,0
52,Right-Pallidum,13,48,255,49,16723981,0,0
53,Right-Hippocampus,220,216,20,50,1366236,0,0
54,Right-Amygdala,103,255,255,51,16777063,0,0
58,Right-Accumbens-area,255,165,0,52,42495,0,0
2000,ctx-rh-unknown,25,5,25,53,1639705,1,0
2001,ctx-rh-bankssts,25,100,40,54,2647065,1,0
2002,ctx-rh-caudalanteriorcingulate,125,100,160,55,10511485,1,0
2003,ctx-rh-caudalmiddlefrontal,100,25,0,56,6500,1,0
2005,ctx-rh-cuneus,220,20,100,57,6558940,1,0
2006,ctx-rh-entorhinal,220,20,10,58,660700,1,0
2007,ctx-rh-fusiform,180,220,140,59,9231540,1,0
2008,ctx-rh-inferiorparietal,220,60,220,60,14433500,1,0
2009,ctx-rh-inferiortemporal,180,40,120,61,7874740,1,0
2010,ctx-rh-isthmuscingulate,140,20,140,62,9180300,1,0
2011,ctx-rh-lateraloccipital,20,30,140,63,9182740,1,0
2012,ctx-rh-lateralorbitofrontal,35,75,50,64,3296035,1,0
2013,ctx-rh-lingual,225,140,140,65,9211105,1,0
2014,ctx-rh-medialorbitofrontal,200,35,75,66,4924360,1,0
2015,ctx-rh-middletemporal,160,100,50,67,3302560,1,0
2016,ctx-rh-parahippocampal,20,220,60,68,3988500,1,0
2017,ctx-rh-paracentral,60,220,60,69,3988540,1,0
2018,ctx-rh-parsopercularis,220,180,140,70,9221340,1,0
2019,ctx-rh-parsorbitalis,20,100,50,71,3302420,1,0
2020,ctx-rh-parstriangularis,220,60,20,72,1326300,1,0
2021,ctx-rh-pericalcarine,120,100,60,73,3957880,1,0
2022,ctx-rh-postcentral,220,20,20,74,1316060,1,0
2023,ctx-rh-posteriorcingulate,220,180,220,75,14464220,1,0
2024,ctx-rh-precentral,60,20,220,76,14423100,1,0
2025,ctx-rh-precuneus,160,140,180,77,11832480,1,0
2026,ctx-rh-rostralanteriorcingulate,80,20,140,78,9180240,1,0
2027,ctx-rh-rostralmiddlefrontal,75,50,125,79,8204875,1,0
2028,ctx-rh-superiorfrontal,20,220,160,80,10542100,1,0
2029,ctx-rh-superiorparietal,20,180,140,81,9221140,1,0
2030,ctx-rh-superiortemporal,140,220,220,82,14474380,1,0
2031,ctx-rh-supramarginal,80,160,20,83,1351760,1,0
2032,ctx-rh-frontalpole,100,0,100,84,6553700,1,0
2033,ctx-rh-temporalpole,70,70,70,85,11146310,1,0
2034,ctx-rh-transversetemporal,150,150,200,86,13145750,1,0
2035,ctx-rh-insula,255,192,32,87,2146559,1,0
