label,name,c1,c2,c3,id,val_fs,cortical,alpha
0,Unknown,0,0,0,0,0,0,255
16,Brain-Stem,119,159,176,1,11575159,0,255
8,Left-Cerebellum-Cortex,230,148,34,2,2266342,0,255
10,Left-Thalamus-Proper,0,118,14,3,947712,0,255
11,Left-Caudate,122,186,220,4,14465658,0,255
12,Left-Putamen,236,13,176,5,11537900,0,255
13,Left-Pallidum,12,48,255,6,16723980,0,255
17,Left-Hippocampus,220,216,20,7,1366236,0,255
18,Left-Amygdala,103,255,255,8,16777063,0,255
26,Left-Accumbens-area,255,165,0,9,42495,0,255
,G_and_S_frontomargin,23,220,60,10,3988503,1,255
,G_and_S_occipital_inf,23,60,180,11,11811863,1,255
,G_and_S_paracentral,63,100,60,12,3957823,1,255
,G_and_S_subcentral,63,20,220,13,14423103,1,255
,G_and_S_transv_frontopol,13,0,250,14,16384013,1,255
,G_and_S_cingul-Ant,26,60,0,15,15386,1,255
,G_and_S_cingul-Mid-Ant,26,60,75,16,4930586,1,255
,G_and_S_cingul-Mid-Post,26,60,150,17,9845786,1,255
,G_cingul-Post-dorsal,25,60,250,18,16399385,1,255
,G_cingul-Post-ventral,60,25,25,19,1644860,1,255
,G_cuneus,180,20,20,20,1316020,1,255
,G_front_inf-Opercular,220,20,100,21,6558940,1,255
,G_front_inf-Orbital,140,60,60,22,3947660,1,255
,G_front_inf-Triangul,180,220,140,23,9231540,1,255
,G_front_middle,140,100,180,24,11822220,1,255
,G_front_sup,180,20,140,25,9180340,1,255
,G_Ins_lg_and_S_cent_ins,23,10,10,26,657943,1,255
,G_insular_short,225,140,140,27,9211105,1,255
,G_occipital_middle,180,60,180,28,11812020,1,255
,G_occipital_sup,20,220,60,29,3988500,1,255
,G_oc-temp_lat-fusifor,60,20,140,30,9180220,1,255
,G_oc-temp_med-Lingual,220,180,140,31,9221340,1,255
,G_oc-temp_med-Parahip,65,100,20,32,1336385,1,255
,G_orbital,220,60,20,33,1326300,1,255
,G_pariet_inf-Angular,20,60,220,34,14433300,1,255
,G_pariet_inf-Supramar,100,100,60,35,3957860,1,255
,G_parietal_sup,220,180,220,36,14464220,1,255
,G_postcentral,20,180,140,37,9221140,1,255
,G_precentral,60,140,180,38,11832380,1,255
,G_precuneus,25,20,140,39,9180185,1,255
,G_rectus,20,60,100,40,6568980,1,255
,G_subcallosal,60,220,20,41,1367100,1,255
,G_temp_sup-G_T_transv,60,60,220,42,14433340,1,255
,G_temp_sup-Lateral,220,60,220,43,14433500,1,255
,G_temp_sup-Plan_polar,65,220,60,44,3988545,1,255
,G_temp_sup-Plan_tempo,25,140,20,45,1346585,1,255
,G_temporal_inf,220,220,100,46,6610140,1,255
,G_temporal_middle,180,60,60,47,3947700,1,255
,Lat_Fis-ant-Horizont,61,20,220,48,14423101,1,255
,Lat_Fis-ant-Vertical,61,20,60,49,3937341,1,255
,Lat_Fis-post,61,60,100,50,6569021,1,255
,Medial_wall,25,25,25,51,1644825,1,255
,Pole_occipital,140,20,60,52,3937420,1,255
,Pole_temporal,220,180,20,53,1357020,1,255
,S_calcarine,63,180,180,54,11842623,1,255
,S_central,221,20,10,55,660701,1,255
,S_cingul-Marginalis,221,20,100,56,6558941,1,255
,S_circular_insula_ant,221,60,140,57,9190621,1,255
,S_circular_insula_inf,221,20,220,58,14423261,1,255
,S_circular_insula_sup,61,220,220,59,14474301,1,255
,S_collat_transv_ant,100,200,200,60,13158500,1,255
,S_collat_transv_post,10,200,200,61,13158410,1,255
,S_front_inf,221,220,20,62,1367261,1,255
,S_front_middle,141,20,100,63,6558861,1,255
,S_front_sup,61,220,100,64,6609981,1,255
,S_interm_prim-Jensen,141,60,20,65,1326221,1,255
,S_intrapariet_and_P_trans,143,20,220,66,14423183,1,255
,S_oc_middle_and_Lunatus,101,60,220,67,14433381,1,255
,S_oc_sup_and_transversal,21,20,140,68,9180181,1,255
,S_occipital_ant,61,20,180,69,11801661,1,255
,S_oc-temp_lat,221,140,20,70,1346781,1,255
,S_oc-temp_med_and_Lingual,141,100,220,71,14443661,1,255
,S_orbital_lateral,221,100,20,72,1336541,1,255
